"latitude";"longitude";"count"
49.75;10.16666;8
50.692778655568;6.08239396560668;2
49.1161;10.0695;2
48.1194;7.6075;8
49.4147;8.7104;1
48.0135;7.8567;3
52.8059413607365;9.14390602111814;6
49.61666;10.51666;3
49.96666;7.9;51
49.45;10.95;7
50.03333;10.5;61
48.8172;9.3861;2
50.3208;12.2546;3
49.0161;10.1088;1
51.28333;10.85;8
49.0092197317918;8.40407972352602;487
51.33333;11.26666;2
46.99179;6.931;4
48.0084;7.8167;2
48.86666;10.58333;5
47.34713;8.72091;4
47.7483;7.2332;10
48.1;7.66666;437
50.879427;12.083931;10
49.8716;9.6038;10
48.7251;9.3814;5
51.9;11.76666;9
50.11667;8.83333;12
51.796301;11.737518;5
52.1653;8.85996;1
50.9898880083069;11.9483608624267;2
53.8611442040758;8.69921784130861;23
47.4;11;233
52.5497716639148;14.5530577182769;2
51.070786024222;9.39682151134491;112
49.9951;5.39699;6
50.4010490142192;10.0075361669617;1
49.5;10.5;413
47.623405;6.156979;9
53.7868258294397;9.48548113162997;7
50.8734;13.9506;3
48.4532;7.8859;5
52.8833;11.75;15
51.4075;10.9714;1
49.5;12.31666;3
50.536111;13.180556;38
52.4223133732014;14.470436550293;4
53.9002149267454;9.2273647671509;3
48.5680063431511;10.3203181083679;2
47.9306;7.3444;28
51.16666;11.8;147
45.0555516831988;11.0164794921875;10
46.4896471687366;8.93119812011719;1
