"year","month","time","ts","hhi.fmax","hhi.max","hhi.sum","hhi.avg","duration","ts.start","ts.stop"
1903,6,"1903-6-15 00:00:00",1903.46,-2.56146257073586,-2.595922,-11.609837,-1.93497283333333,6,1903.12,1903.54
1933,4,"1933-4-15 00:00:00",1933.29,-2.84502356254723,-2.96163,-11.487817,-2.2975634,5,1932.96,1933.29
1835,9,"1835-9-15 00:00:00",1835.71,-3.39964546753466,-2.96163,-11.377658,-2.2755316,5,1835.38,1835.71
1854,3,"1854-3-15 00:00:00",1854.21,-2.11295426465799,-2.230214,-11.367999,-1.420999875,8,1853.79,1854.38
1784,5,"1784-5-15 00:00:00",1784.38,-2.87262937464109,-2.528333,-11.247883,-1.87464716666667,6,1784.21,1784.62
1808,7,"1808-7-15 00:00:00",1808.54,-2.68616205879627,-2.230214,-11.234206,-1.87236766666667,6,1808.21,1808.62
1545,9,"1545-9-15 00:00:00",1545.71,-2.37871480184914,-2.230214,-11.178556,-1.86309266666667,6,1545.38,1545.79
1514,1,"1514-1-15 00:00:00",1514.04,-2.51726251996317,-2.672504,-11.111827,-1.388978375,8,1513.46,1514.04
1798,4,"1798-4-15 00:00:00",1798.29,-2.82481242132697,-2.595922,-10.989486,-1.831581,6,1797.96,1798.38
1795,2,"1795-2-15 00:00:00",1795.12,-2.16779704240179,-2.112398,-10.920971,-1.56013871428571,7,1794.96,1795.46
1710,12,"1710-12-15 00:00:00",1710.96,-2.79227671559911,-2.944267,-10.672335,-2.134467,5,1710.71,1711.04
1949,2,"1949-2-15 00:00:00",1949.12,-2.47032666861223,-2.343298,-10.653187,-1.77553116666667,6,1948.79,1949.21
1996,4,"1996-4-15 00:00:00",1996.29,-2.45351816278834,-2.80608,-10.524605,-1.503515,7,1996.04,1996.54
1947,10,"1947-10-15 00:00:00",1947.79,-2.91653426108833,-2.45109,-10.436431,-1.73940516666667,6,1947.38,1947.79
2022,8,"2022-8-15 00:00:00",2022.62,-2.94231529425353,-2.63549,-10.35335,-1.72555833333333,6,2022.21,2022.62
1612,9,"1612-9-15 00:00:00",1612.71,-2.06975463158149,-2.230214,-10.256649,-1.282081125,8,1612.29,1612.88
1636,6,"1636-6-15 00:00:00",1636.46,-3.05161180988684,-3,-10.168224,-2.0336448,5,1636.21,1636.54
1661,7,"1661-7-15 00:00:00",1661.54,-2.55895194353812,-2.595922,-10.086745,-2.017349,5,1661.21,1661.54
1697,6,"1697-6-15 00:00:00",1697.46,-2.1000403234786,-2.343298,-10.067078,-1.67784633333333,6,1697.04,1697.46
1592,1,"1592-1-15 00:00:00",1592.04,-2.76368723548706,-2.595922,-9.84626,-1.969252,5,1591.88,1592.21
1664,6,"1664-6-15 00:00:00",1664.46,-2.36596802006398,-2.230214,-9.835581,-1.9671162,5,1664.12,1664.46
1840,6,"1840-6-15 00:00:00",1840.46,-2.54582735299592,-2.230214,-9.734206,-1.9468412,5,1840.21,1840.54
1976,8,"1976-8-15 00:00:00",1976.62,-2.91017834781028,-2.528333,-9.625925,-1.60432083333333,6,1976.21,1976.62
1805,6,"1805-6-15 00:00:00",1805.46,-2.45337600173852,-2.528333,-9.516621,-1.9033242,5,1805.21,1805.54
1691,4,"1691-4-15 00:00:00",1691.29,-2.87943326516775,-2.944267,-9.393202,-1.56553366666667,6,1690.96,1691.38
1744,2,"1744-2-15 00:00:00",1744.12,-2.37857551362976,-2.112398,-9.275468,-1.54591133333333,6,1744.04,1744.46
1660,11,"1660-11-15 00:00:00",1660.88,-2.29372871421205,-2.230214,-9.171496,-1.8342992,5,1660.54,1660.88
1672,6,"1672-6-15 00:00:00",1672.46,-2.58973683555258,-2.230214,-9.129227,-1.52153783333333,6,1672.12,1672.54
1583,7,"1583-7-15 00:00:00",1583.54,-2.51762633281843,-2.230214,-9.123778,-1.8247556,5,1583.29,1583.62
1676,11,"1676-11-15 00:00:00",1676.88,-2.88184911731535,-2.528333,-9.071052,-1.511842,6,1676.54,1676.96
1824,2,"1824-2-15 00:00:00",1824.12,-1.68402528701415,-1.885456,-8.772323,-1.096540375,8,1823.62,1824.21
1503,7,"1503-7-15 00:00:00",1503.54,-2.49678136596627,-2.528333,-8.756401,-2.18910025,4,1503.38,1503.62
1861,8,"1861-8-15 00:00:00",1861.62,-2.4187315263678,-2.230214,-8.709078,-1.451513,6,1861.29,1861.71
1810,2,"1810-2-15 00:00:00",1810.12,-2.67757353153048,-2.230214,-8.63409,-1.439015,6,1809.79,1810.21
1841,5,"1841-5-15 00:00:00",1841.38,-2.97742566878329,-2.944267,-8.561907,-2.14047675,4,1841.12,1841.38
1952,7,"1952-7-15 00:00:00",1952.54,-2.74847644120587,-2.528333,-8.442122,-2.1105305,4,1952.38,1952.62
1788,8,"1788-8-15 00:00:00",1788.62,-1.77970887684445,-2.014091,-8.42789,-1.40464833333333,6,1788.21,1788.62
1574,8,"1574-8-15 00:00:00",1574.62,-1.73844272370323,-1.885456,-8.368534,-1.39475566666667,6,1574.54,1574.96
1743,1,"1743-1-15 00:00:00",1743.04,-2.37574443923881,-2.230214,-8.281934,-1.38032233333333,6,1742.71,1743.12
1971,4,"1971-4-15 00:00:00",1971.29,-2.02696608833078,-2.112398,-8.264929,-1.6529858,5,1971.04,1971.38
1807,8,"1807-8-15 00:00:00",1807.62,-2.70121888252219,-2.528333,-8.134655,-1.626931,5,1807.38,1807.71
