"longitude";"latitude";"count"
9.3114;48.8288;1
12.43333;53.48333;5
9.51722;49.76194;106
8.23408126831055;47.6087092187798;2
6.624;49.7326;8
11.736832;49.893529;7
9.50889028968811;50.6241864995624;5
14.279866;52.688532;8
9.241;48.77;11
9.1522;49.2883;3
7.7634;48.3499;8
6.18324144584653;49.1160778437075;236
9.8579;50.882328;2
7.86668306878664;48.0449227733927;1
11.4233440648651;51.7063165913086;2
11.5213105396729;48.0540455888126;1
7.5782;48.0277;8
7.79271551246256;47.5542885242955;26
8.87722;49.25527;10
10.21666;49.63333;1
14.4743366241455;48.9745413772942;2
7.7765;50.0319;2
11.3455797195435;51.0758284432138;1
13.4413096427918;50.716741516231;2
7.942;47.9673;4
10.103;49.4467;12
7.858455;48.010576;22
6.4002;49.6093;15
14.892654;51.223443;2
7.506;47.7598;1
8.1052;51.3878;1
10.18333;49.71666;11
11.6304016113281;48.0998654157728;2
14.9327687460938;51.0147660900249;2
9.284482;46.836557;34
6.16667;49.36667;11
6.99850338917156;50.9641364391421;9
10.28333;49.63333;1
9.68699676092149;49.3043590070192;14
12.369747;51.017426;2
11.55;48.75;5
8.93333;54.41666;21
8.5639;49.4736;4
12.5045919418335;53.8939436684085;5
9.214;48.712;1
8.4911;47.3496;1
7.8237247467041;48.5212662036191;7
9.69356516532901;49.857268156412;2
8.5232;50.18424;1
9.59608570367436;53.379412197395;261
14.811287;50.897187;5
14.58333;51.41666;214
7.9391;50.8168;2
8.20871829986572;48.8574728849071;12
7.9501;47.8945;1
7.85532385110855;47.9905804644442;1
7.7587;48.5876;2
10.56407;51.82809;14
7.761;48.0318;38
7.62541276715092;51.9629575435929;107
11.9832227116394;52.7957056291482;2
10.38333;51.25;13
9.86388;49.8375;6
10.53333;52.26666;13
13;47.3;1
10.6880021666565;53.8685984773675;108
7.8867;47.9891;3
9.99642139962771;53.5504048276126;2591
11.9056929695893;50.9682717015956;40
10.8631949310303;48.3481111969823;79
9.056;48.5202;34
11.2497;49.6444;3
7.77;48.4754;8
8.75518354492192;50.3367448950534;28
13.0268506315995;48.2656729073479;63
9.18033592700954;49.711186388436;3
9.5;51.302;1
10.9837104867554;52.2761008779033;2
9.2187097168885;49.1422954782345;3203
14.1;51.26666;2
6.76667;51.46667;1
11.01666;49.48333;6
7.69875526428223;48.142437039154;22
11.5782;48.9469;63
7.15075731611637;51.2498521367651;8
5.86277276455689;51.8479207208976;4
12.6329634074096;51.4598748916015;885
8.6928;48.4451;5
7.849214;47.996084;3
8.1091;48.2872;12
7.6771;47.7167;48
12.1417306786346;51.2566746532642;6
10.8980298174133;48.3688199490025;1737
12.9410628795624;50.5127781386311;19
5.0913;51.55551;3
11.33333;51.33333;5
8.4043;49.0135;18
8.03390264511108;47.8713811060038;2
7.05;47.86;10
9.20104606151585;52.2010981415756;2
9.17214243522642;47.8092022430419;5
11.9428514437866;49.0908512200088;2
11.5;52.1;3
10.9;47.81666;79
9.5792;48.9824;1
7.824701;47.976005;38
6.864306;45.8325;4
12.1356007658234;51.0493826118436;18
9.5;49.2;9
7.3281;50.776;2
10.06666;53.5;5
10.0833;49.6667;9
7.7807;48.365;8
8.59719121957392;47.2596680823543;2
9.86666;51.81666;10
9.34267;47.39986;23
11.7430664187241;48.4006446414873;23
7.7999;48.5742;120
11.2889653921127;52.7039105072559;2
7.5325;46.7798;18
10;51.5;9
7.1161;50.1021;9
8.36666;52.31666;2
8.0458;47.9839;20
9.2552;48.7824;13
11.972410656128;51.2009277273384;23
11.26666;51.91666;1
7.20531493652345;53.3667889349134;76
13.73737;51.049596;11
6.55968512297056;50.4165784844904;1
11.096931552887;50.6617091428023;46
7.4925;48.5415;16
7.220278;47.101881;49
9.1467;49.0439;8
13.36666;50.93333;1
10.140893829422;50.8796002201542;222
9.11504;51.41216;5
8.53134;47.3401;4
8.39879;49.09006;5
7.4;48.3;352
7.33911174316693;47.8078739295187;1
11.5879795899353;50.9281409950224;1758
7.96724445899963;49.9826355397189;25
13.6327;52.2726;2
7.0718;47.8434;5
6.378333;47.205556;5
12.86666;51.31666;4
7.8455;48.5693;28
8.51938247680664;47.0276340602237;2
11.623742;51.088423;2
7.647;46.5864;4
9.1945;49.1336;2
7.0752;49.9157;7
11.65;52.78333;3
10.0762248283195;50.1997270108464;3
10.3337358862;51.8040109553255;8
8.3133;49.0376;2
9.25;50.91666;16
8.71793861389165;49.7188871471916;283
9.5184;49.7612;5
13.38333;53.45;5
8.40608;54.7143;2
10.9072990449524;50.3007850977922;3
6.5316;49.1942;4
11.5731309814148;48.1385704716728;10915
7.5911;50.2326;23
7.75334358215332;47.9141560435387;4
7.9;49.96666;44
8.8053751468658;50.1520899004022;2
9.738007;52.371198;9
8.91418;50.13423;93
8.85047206878664;48.2732337808222;12
9.12220745801926;49.7900413967363;4
11.6357654457855;52.5440694004211;1
7.2345;47.9357;2
14.718246;51.996719;2
9.116667;51.116667;521
13.8229687737885;50.7836769719934;2
7.4055;47.9904;15
10.9800824311828;48.355393681046;8
7.72340620226689;48.4699815320645;2
12.556319284439;51.0559213772161;1
8.3732;48.3113;192
7.1182;48.0326;9
8.08428525924683;48.2845735127741;3
8.85457372877499;51.4602562530635;2
9.75308341796881;49.6393999963719;2
10.86666;53.96666;146
11.286049;50.899569;1
7.8627;48.0219;24
12.0551391124725;50.0729265751275;35
13.2648907547759;52.402404667935;4
7.37904746922279;48.2408104068571;2
11.4857159087067;52.4469404354962;3
13.166667;47.6;3
6.7571;50.90454;1
7.1987;47.9208;108
7.7389;47.6433;24
9.1436;49.9738;104
7.6806;48.4899;3
7.73333;49.85;3
7.3371;47.868;34
13.4485194206238;52.216206439017;5
8.5886;48.8464;2
7.9414;48.3094;12
12.8719019152832;50.23217;38
14.625695;53.651743;3
8.578;48.3045;1
7.64352813211651;48.5140154266179;1
12.086389;47.511111;24
12.484052;53.346268;2
13.41465;52.522697;95
7.55512293522003;47.9893640376422;1
7.3853;48.0083;56
7.7475;47.9175;46
7.229167;47.885833;5
11.25;50.86666;2
7.8566;48.0133;3
10.0419;47.694;3
11.9281908729859;53.3179544725295;3
10.4884592010499;48.850993375292;17
5.878611;46.941111;4
12.9219815026855;52.4979099338186;1
9.68333;51.26666;2
8.7441;47.4575;1
7.9428;48.4689;144
10.31388;47.72673;113
11.923770904541;48.1202675272745;6
7.842131;47.997634;11
12.5737573544922;51.4565015279044;2
7.75;53.3;1
12.769363666687;51.2511147479209;2
9.7;50.501;153
7.38192;47.9464;16
13.2354055107116;51.6924300634011;19
10.36666;50.01666;3
11.255364;48.177757;6
8.5472;50.0983;19
13.95;52.33333;2
9.28333;53.63333;2
11.0037727116394;49.5977593613418;182
8.0255;49.9919;5
8.63333;49.68333;56
7.2861;47.9846;4
12.9444694519043;47.87784349464;1
9.88194;49.9125;3
14.11666;52.41666;5
7.7567;48.3288;8
9.63944;49.67083;13
6.33333;51.51666;5
13.80028756604;47.9193441245803;3
9.96666;52.15;5
8.010398;49.998486;2
12.28333;52.26666;2
11.9483608624267;50.9898880083069;2
7.5656;47.6496;1
9.21856401985167;48.6802153198351;1
9.065833;47.569444;14
10.25985;50.03895;2
9.08859754631044;54.3762249231825;1
5.2679;45.0505;1
8.046944;46.787222;1
13.2193825264587;50.5604712868679;3
8.99751091003418;54.1653284113569;1
7.8822;48.6915;4
7.87050247192383;48.6004521023579;1
6.883056;47.440556;1
10.6;47.7;8
9.52223;47.21071;1
7.77008056640625;48.069591188527;18
7.6;48.1;3
9.5;49.8;9
9.57328991401675;49.6796471068736;8
9.5988;49.8441;29
9.31783676147461;48.6941170370765;7
